Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2013-04-30,2013,4,30,Tuesday,17,2013-17,443.25,443.44,435.51,437.66,0,437.66,0.0,437.66,437.66
2013-05-01,2013,5,1,Wednesday,17,2013-17,437.66,438.83,435.8,437.95,0,437.95,0.0006626343337186036,437.805,437.805
2013-05-02,2013,5,2,Thursday,17,2013-17,437.95,437.95,432.72,434.55,0,434.55,-0.007763498845286487,436.72,436.72
2013-05-03,2013,5,3,Friday,17,2013-17,434.55,435.12,431.69,433.92,0,433.92,-0.0014497166791649363,436.02,436.02
2013-05-07,2013,5,7,Tuesday,18,2013-18,433.92,433.92,430.25,433.52,0,433.52,-0.0009218851439981579,435.52,435.52
2013-05-08,2013,5,8,Wednesday,18,2013-18,433.52,433.69,431.0,432.46,0,432.46,-0.0024450950024367257,435.01,435.01
2013-05-09,2013,5,9,Thursday,18,2013-18,432.46,434.49,430.36,434.33,0,434.33,0.00432408813332219,434.91285714285715,434.91285714285715
2013-05-10,2013,5,10,Friday,18,2013-18,434.33,441.52,434.33,440.15,0,440.15,0.013399966624801252,435.5675,435.5675
2013-05-13,2013,5,13,Monday,19,2013-19,440.15,442.82,439.63,442.44,0,442.44,0.0052027912681522626,436.3311111111111,436.3311111111111
2013-05-14,2013,5,14,Tuesday,19,2013-19,442.44,444.52,440.65,444.49,0,444.49,0.004633369002930987,437.14700000000005,437.14700000000005
2013-05-15,2013,5,15,Wednesday,19,2013-19,444.49,450.0,443.99,449.29,0,449.29,0.01079893454522085,438.2509090909091,438.2509090909091
2013-05-16,2013,5,16,Thursday,19,2013-19,449.29,453.35,447.94,448.78,0,448.78,-0.0011351460213342435,439.12833333333333,439.12833333333333
2013-05-17,2013,5,17,Friday,19,2013-19,448.78,449.83,445.84,449.07,0,449.07,0.0006462153966546591,439.8930769230769,439.8930769230769
2013-05-20,2013,5,20,Monday,20,2013-20,449.07,451.51,449.07,451.47,0,451.47,0.005344364703367077,440.71999999999997,440.71999999999997
2013-05-21,2013,5,21,Tuesday,20,2013-20,451.47,455.44,448.28,455.44,0,455.44,0.008793499479409217,441.99000000000007,441.70133333333337
2013-05-22,2013,5,22,Wednesday,20,2013-20,455.44,463.95,454.59,463.95,0,463.95,0.018685248814348077,443.8471428571429,443.091875
2013-05-23,2013,5,23,Thursday,20,2013-20,463.95,463.95,454.65,456.38,0,456.38,-0.016316428763969326,445.4064285714286,443.8735294117647
2013-05-24,2013,5,24,Friday,20,2013-20,456.38,458.62,453.78,458.19,0,458.19,0.0039659878593028,447.14,444.6688888888889
2013-05-28,2013,5,28,Tuesday,21,2013-21,458.19,470.88,458.1,467.48,0,467.48,0.02027545013077825,449.5657142857143,445.86947368421056
2013-05-29,2013,5,29,Wednesday,21,2013-21,467.48,467.48,455.35,455.57,0,455.57,-0.025477032990096515,451.21642857142854,446.35450000000003
2013-05-30,2013,5,30,Thursday,21,2013-21,455.57,456.7,451.77,454.26,0,454.26,-0.0028755131758738672,452.64,446.7309523809524
2013-05-31,2013,5,31,Friday,21,2013-21,454.26,454.53,446.82,451.1,0,451.1,-0.006956376511636497,453.42214285714283,446.92954545454546
2013-06-03,2013,6,3,Monday,22,2013-22,451.1,451.68,445.56,447.44,0,447.44,-0.00811350834091873,453.7792857142858,446.95173913043476
2013-06-04,2013,6,4,Tuesday,22,2013-22,447.44,448.46,444.97,445.38,0,445.38,-0.0046039637657643295,453.8428571428571,446.88625
2013-06-05,2013,6,5,Wednesday,22,2013-22,445.38,446.27,438.81,438.81,0,438.81,-0.014751464484687449,453.0942857142857,446.5632
2013-06-06,2013,6,6,Thursday,22,2013-22,438.81,442.39,434.07,434.07,0,434.07,-0.010801919420129202,452.0435714285714,446.0826923076923
2013-06-07,2013,6,7,Friday,22,2013-22,434.07,440.99,431.69,438.95,0,438.95,0.011242437395974081,451.32071428571436,445.81851851851854
2013-06-10,2013,6,10,Monday,23,2013-23,438.95,443.3,435.65,439.84,0,439.84,0.0020275295730931564,450.48999999999995,445.605
2013-06-11,2013,6,11,Tuesday,23,2013-23,439.84,439.98,434.72,437.85,0,437.85,-0.004524350334084382,449.23357142857145,445.33758620689656
2013-06-12,2013,6,12,Wednesday,23,2013-23,437.85,443.78,436.4,439.8,0,439.8,0.004453538111844013,447.50857142857143,445.153
2013-06-13,2013,6,13,Thursday,23,2013-23,439.8,439.96,433.83,438.91,0,438.91,-0.0020236110858610212,446.26071428571424,444.9516129032258
2013-06-14,2013,6,14,Friday,23,2013-23,438.91,439.99,435.44,437.99,0,437.99,-0.002096132282377039,444.8178571428571,444.7340625
2013-06-17,2013,6,17,Monday,24,2013-24,437.99,443.26,437.99,440.51,0,440.51,0.005753600738458653,442.89142857142855,444.6060606060606
2013-06-18,2013,6,18,Tuesday,24,2013-24,440.51,441.89,436.98,439.31,0,439.31,-0.002724142880816127,441.73,444.45029411764705
2013-06-19,2013,6,19,Wednesday,24,2013-24,439.31,441.62,436.45,437.24,0,437.24,-0.004711951323035035,440.5142857142857,444.2442857142857
2013-06-20,2013,6,20,Thursday,24,2013-24,437.24,437.25,421.81,421.81,0,421.81,-0.035289527537291976,438.42214285714283,443.62111111111113
2013-06-21,2013,6,21,Friday,24,2013-24,421.81,426.6,419.0,419.0,0,419.0,-0.006661761396974497,436.39071428571424,442.9556756756757
2013-06-24,2013,6,24,Monday,25,2013-25,419.0,421.25,411.92,414.93,0,414.93,-0.00971362129885145,434.21571428571434,442.21815789473686
2013-06-25,2013,6,25,Tuesday,25,2013-25,414.93,417.24,413.5,416.1,0,416.1,0.00281978514059511,432.59357142857147,441.54846153846154
2013-06-26,2013,6,26,Wednesday,25,2013-25,416.1,425.55,415.51,423.92,0,423.92,0.01879357656695957,431.8685714285715,441.10775
2013-06-27,2013,6,27,Thursday,25,2013-25,423.92,432.53,423.92,430.38,0,430.38,0.01523870364799218,431.25642857142856,440.8460975609756
2013-06-28,2013,6,28,Friday,25,2013-25,430.38,431.13,425.72,428.8,0,428.8,-0.0036712139781539532,430.46785714285716,440.55928571428575
2013-07-01,2013,7,1,Monday,26,2013-26,428.8,433.76,428.79,432.2,0,432.2,0.00792916163911861,430.0642857142857,440.3648837209302
2013-07-02,2013,7,2,Tuesday,26,2013-26,432.2,435.5,430.27,435.16,0,435.16,0.006848661201934947,429.73285714285714,440.24659090909086
2013-07-03,2013,7,3,Wednesday,26,2013-26,435.16,435.16,428.22,430.88,0,430.88,-0.009835459930320645,429.1592857142858,440.03844444444445
2013-07-04,2013,7,4,Thursday,26,2013-26,430.88,445.75,430.88,445.05,0,445.05,0.03288614637388454,429.6635714285714,440.1473913043478
2013-07-05,2013,7,5,Friday,26,2013-26,445.05,452.96,442.65,444.21,0,444.21,-0.001887420202068113,429.92785714285714,440.2338297872341
2013-07-08,2013,7,8,Monday,27,2013-27,444.21,450.52,444.21,448.29,0,448.29,0.009184883654865583,430.5692857142857,440.40166666666664
2013-07-09,2013,7,9,Tuesday,27,2013-27,448.29,453.51,448.29,452.34,0,452.34,0.00903430305331665,431.6478571428571,440.64530612244897
2013-07-10,2013,7,10,Wednesday,27,2013-27,452.34,454.26,449.38,454.26,0,454.26,0.004244624493254356,433.96571428571434,440.9176
2013-07-11,2013,7,11,Thursday,27,2013-27,454.26,457.26,451.21,452.05,0,452.05,-0.00486510352033076,436.3264285714286,441.2054
2013-07-12,2013,7,12,Friday,27,2013-27,452.05,456.47,451.86,454.13,0,454.13,0.004601298851923286,439.1264285714286,441.529
2013-07-15,2013,7,15,Monday,28,2013-28,454.13,457.05,451.49,453.25,0,453.25,-0.0019377818539860758,441.78000000000003,441.903
2013-07-16,2013,7,16,Tuesday,28,2013-28,453.25,453.65,447.62,447.62,0,447.62,-0.012421411765719759,443.47285714285715,442.17699999999996
2013-07-17,2013,7,17,Wednesday,28,2013-28,447.62,451.96,445.53,450.22,0,450.22,0.0058085119786370765,444.88999999999993,442.5110000000001
2013-07-18,2013,7,18,Thursday,28,2013-28,450.22,454.64,447.73,452.71,0,452.71,0.005530607764256956,446.59785714285715,442.916
2013-07-19,2013,7,19,Friday,28,2013-28,452.71,452.74,446.35,449.69,0,449.69,-0.0066709131025917134,447.8471428571429,443.2232
2013-07-22,2013,7,22,Monday,29,2013-29,449.69,449.69,444.39,446.22,0,446.22,-0.007716429544495473,448.63714285714286,443.3446
2013-07-23,2013,7,23,Tuesday,29,2013-29,446.22,447.17,443.41,443.41,0,443.41,-0.006297336629704109,449.53214285714284,443.36400000000003
2013-07-24,2013,7,24,Wednesday,29,2013-29,443.41,450.16,440.29,444.54,0,444.54,0.0025484424651673887,449.4957142857143,443.365
2013-07-25,2013,7,25,Thursday,29,2013-29,444.54,449.22,439.92,446.59,0,446.59,0.0046114809771089504,449.66571428571433,443.31100000000004
2013-07-26,2013,7,26,Friday,29,2013-29,446.59,448.76,440.05,442.21,0,442.21,-0.009807664566446217,449.23142857142864,443.1796
2013-07-29,2013,7,29,Monday,30,2013-30,442.21,449.25,442.21,445.41,0,445.41,0.007236408649432979,448.7364285714286,443.1064
2013-07-30,2013,7,30,Tuesday,30,2013-30,445.41,449.43,444.63,447.07,0,447.07,0.0037269114938169867,448.22285714285715,443.0184
2013-07-31,2013,7,31,Wednesday,30,2013-30,447.07,452.98,444.98,449.75,0,449.75,0.005994570496512086,448.0585714285714,442.9046
2013-08-01,2013,8,1,Thursday,30,2013-30,449.75,454.69,448.18,454.69,0,454.69,0.010983885361659285,448.09857142857146,442.71939999999995
