Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2013-04-30,2013,4,30,Tuesday,17,2013-17,826.47,835.6,826.47,834.49,0,834.49,0.0,834.49,834.49
2013-05-01,2013,5,1,Wednesday,17,2013-17,834.49,850.49,834.49,850.49,0,850.49,0.01917338756275111,842.49,842.49
2013-05-02,2013,5,2,Thursday,17,2013-17,850.49,850.49,831.86,837.22,0,837.22,-0.015602793311645047,840.7333333333332,840.7333333333332
2013-05-03,2013,5,3,Friday,17,2013-17,837.22,847.97,834.38,846.49,0,846.49,0.011072382236014588,842.1725,842.1725
2013-05-07,2013,5,7,Tuesday,18,2013-18,846.49,854.67,843.77,852.27,0,852.27,0.006828231123293671,844.192,844.192
2013-05-08,2013,5,8,Wednesday,18,2013-18,852.27,865.19,852.12,865.04,0,865.04,0.014983465572468768,847.6666666666666,847.6666666666666
2013-05-09,2013,5,9,Thursday,18,2013-18,865.04,870.39,857.99,870.39,0,870.39,0.006184727592930539,850.9128571428572,850.9128571428572
2013-05-10,2013,5,10,Friday,18,2013-18,870.39,873.02,867.67,873.02,0,873.02,0.003021639539229737,853.67625,853.67625
2013-05-13,2013,5,13,Monday,19,2013-19,873.02,876.18,867.64,870.09,0,870.09,-0.0033561574880659473,855.5,855.5
2013-05-14,2013,5,14,Tuesday,19,2013-19,870.09,877.14,868.74,874.94,0,874.94,0.005574107777634785,857.4440000000001,857.4440000000001
2013-05-15,2013,5,15,Wednesday,19,2013-19,874.94,884.05,873.28,882.29,0,882.29,0.008400548112360129,859.7027272727272,859.7027272727272
2013-05-16,2013,5,16,Thursday,19,2013-19,882.29,889.4,879.75,884.35,0,884.35,0.0023348305091253074,861.7566666666667,861.7566666666667
2013-05-17,2013,5,17,Friday,19,2013-19,884.35,888.72,881.82,887.93,0,887.93,0.0040481904095397425,863.77,863.77
2013-05-20,2013,5,20,Monday,20,2013-20,887.93,894.96,886.86,894.13,0,894.13,0.00698254621217087,865.9385714285714,865.9385714285714
